date,Stock,Open,High,Low,Close
01-Oct-2019,EA,97.809998,98.0,95.129997,96.75
02-Oct-2019,EA,96.0,96.0,92.440002,94.25
03-Oct-2019,EA,96.0,96.0,92.440002,94.25
04-Oct-2019,EA,94.339996,95.769997,94.339996,95.610001
07-Oct-2019,EA,95.120003,95.82,93.32,93.57
08-Oct-2019,EA,93.029999,93.830002,92.160004,92.540001
09-Oct-2019,EA,93.019997,94.5,92.800003,92.879997
10-Oct-2019,EA,92.660004,93.559998,92.209999,92.529999
11-Oct-2019,EA,93.93,95.870003,93.75,94.190002
14-Oct-2019,EA,94.0,94.660004,92.709999,93.879997
15-Oct-2019,EA,94.139999,95.279999,93.220001,95.150002
16-Oct-2019,EA,94.410004,96.360001,94.400002,96.220001
17-Oct-2019,EA,96.709999,98.0,96.519997,96.760002
18-Oct-2019,EA,96.050003,96.099998,94.050003,95.129997
21-Oct-2019,EA,95.480003,96.830002,95.0,95.809998
22-Oct-2019,EA,94.169998,95.769997,93.209999,94.300003
23-Oct-2019,EA,94.43,96.25,94.360001,95.709999
24-Oct-2019,EA,96.160004,96.970001,95.169998,95.980003
25-Oct-2019,EA,95.540001,96.349998,94.610001,96.309998
28-Oct-2019,EA,97.0,97.900002,96.199997,96.720001
29-Oct-2019,EA,96.720001,97.519997,94.370003,94.410004
30-Oct-2019,EA,94.25,96.839996,92.559998,96.720001
31-Oct-2019,EA,96.620003,96.720001,94.870003,96.400002
—-—-—,—,96.620003,96.720001,94.870003,96.400002
01-Nov-2019,EA,97.120003,97.120003,95.080002,95.300003
04-Nov-2019,EA,96.349998,98.529999,95.599998,98.150002
05-Nov-2019,EA,98.129997,98.989998,96.629997,98.260002
06-Nov-2019,EA,98.68,99.18,97.970001,98.669998
07-Nov-2019,EA,99.290001,99.290001,97.019997,97.230003
08-Nov-2019,EA,96.910004,98.5,96.32,98.269997
11-Nov-2019,EA,97.550003,98.900002,96.309998,96.389999
12-Nov-2019,EA,96.410004,96.830002,95.25,96.330002
13-Nov-2019,EA,96.620003,96.970001,95.540001,96.0
14-Nov-2019,EA,96.199997,98.480003,96.120003,97.540001
15-Nov-2019,EA,98.849998,99.389999,97.370003,97.540001
18-Nov-2019,EA,98.849998,99.389999,97.370003,97.540001
19-Nov-2019,EA,98.849998,99.389999,97.370003,97.540001
20-Nov-2019,EA,96.120003,98.910004,96.120003,98.120003
21-Nov-2019,EA,98.25,99.230003,98.209999,99.010002
22-Nov-2019,EA,99.660004,99.93,98.32,99.190002
25-Nov-2019,EA,99.279999,101.239998,99.279999,99.800003
26-Nov-2019,EA,99.870003,100.139999,98.709999,99.279999
27-Nov-2019,EA,100.089996,100.970001,98.75,100.790001
29-Nov-2019,EA,100.029999,102.0,100.019997,101.010002
