,Stock,Day,Month,Year,Open,High,Low,Close
0,EA,01,Oct,2019,97.809998,98.000000,95.129997,96.750000
1,EA,02,Oct,2019,96.000000,96.000000,92.440002,94.250000
2,EA,03,Oct,2019,,,,
3,EA,04,Oct,2019,94.339996,95.769997,94.339996,95.610001
4,EA,07,Oct,2019,95.120003,95.820000,93.320000,93.570000
5,EA,08,Oct,2019,93.029999,93.830002,92.160004,92.540001
6,EA,09,Oct,2019,93.019997,94.500000,92.800003,92.879997
7,EA,10,Oct,2019,92.660004,93.559998,92.209999,92.529999
8,EA,11,Oct,2019,93.930000,95.870003,93.750000,94.190002
9,EA,14,Oct,2019,94.000000,94.660004,92.709999,93.879997
10,EA,15,Oct,2019,94.139999,95.279999,93.220001,95.150002
11,EA,16,Oct,2019,94.410004,96.360001,94.400002,96.220001
12,EA,17,Oct,2019,96.709999,98.000000,96.519997,96.760002
13,EA,18,Oct,2019,96.050003,96.099998,94.050003,95.129997
14,EA,21,Oct,2019,95.480003,96.830002,95.000000,95.809998
15,EA,22,Oct,2019,94.169998,95.769997,93.209999,94.300003
16,EA,23,Oct,2019,94.430000,96.250000,94.360001,95.709999
17,EA,24,Oct,2019,96.160004,96.970001,95.169998,95.980003
18,EA,25,Oct,2019,95.540001,96.349998,94.610001,96.309998
19,EA,28,Oct,2019,97.000000,97.900002,96.199997,96.720001
20,EA,29,Oct,2019,96.720001,97.519997,94.370003,94.410004
21,EA,30,Oct,2019,94.250000,96.839996,92.559998,96.720001
22,EA,31,Oct,2019,96.620003,96.720001,94.870003,96.400002
23,—,—,—,—,—,—,—,—
24,EA,01,Nov,2019,97.120003,97.120003,95.080002,95.300003
25,EA,04,Nov,2019,96.349998,98.529999,95.599998,98.150002
26,EA,05,Nov,2019,98.129997,98.989998,96.629997,98.260002
27,EA,06,Nov,2019,98.680000,99.180000,97.970001,98.669998
28,EA,07,Nov,2019,99.290001,99.290001,97.019997,97.230003
29,EA,08,Nov,2019,96.910004,98.500000,96.320000,98.269997
30,EA,11,Nov,2019,97.550003,98.900002,96.309998,96.389999
31,EA,12,Nov,2019,96.410004,96.830002,95.250000,96.330002
32,EA,13,Nov,2019,96.620003,96.970001,95.540001,96.000000
33,EA,14,Nov,2019,96.199997,98.480003,96.120003,97.540001
34,EA,15,Nov,2019,98.849998,99.389999,97.370003,97.540001
35,EA,18,Nov,2019,,,,
36,EA,19,Nov,2019,,,,
37,EA,20,Nov,2019,96.120003,98.910004,96.120003,98.120003
38,EA,21,Nov,2019,98.250000,99.230003,98.209999,99.010002
39,EA,22,Nov,2019,99.660004,99.930000,98.320000,99.190002
40,EA,25,Nov,2019,99.279999,101.239998,99.279999,99.800003
41,EA,26,Nov,2019,99.870003,100.139999,98.709999,99.279999
42,EA,27,Nov,2019,100.089996,100.970001,98.750000,100.790001
43,EA,29,Nov,2019,100.029999,102.000000,100.019997,101.010002
44,EA,02,Dec,2019,101.419998,101.599998,99.570000,100.400002
45,EA,03,Dec,2019,99.540001,101.470001,99.099998,101.269997
46,EA,04,Dec,2019,101.769997,102.389999,100.419998,100.629997
47,EA,05,Dec,2019,101.449997,102.269997,100.360001,102.120003
48,EA,06,Dec,2019,102.889999,103.300003,102.349998,103.230003
49,EA,09,Dec,2019,103.339996,103.500000,101.930000,102.029999
50,EA,10,Dec,2019,101.839996,102.500000,101.290001,101.839996
51,EA,11,Dec,2019,101.870003,103.510002,101.820000,103.199997
52,EA,12,Dec,2019,103.540001,105.169998,103.190002,105.089996
53,EA,13,Dec,2019,105.339996,105.839996,103.809998,104.550003
54,EA,16,Dec,2019,105.010002,105.919998,104.820000,105.720001
55,EA,17,Dec,2019,105.860001,106.230003,105.120003,105.750000
56,EA,18,Dec,2019,106.000000,107.250000,105.639999,107.080002
57,EA,19,Dec,2019,107.000000,107.879997,106.639999,107.339996
58,EA,20,Dec,2019,108.019997,108.449997,107.059998,107.949997
59,EA,23,Dec,2019,108.269997,108.919998,107.669998,107.790001
60,EA,24,Dec,2019,107.779999,108.870003,107.730003,108.550003
61,EA,26,Dec,2019,,,,
62,EA,27,Dec,2019,108.599998,108.889999,107.800003,108.430000
63,EA,30,Dec,2019,108.110001,108.370003,106.760002,106.930000
64,EA,31,Dec,2019,106.580002,107.519997,106.430000,107.510002
