date,Stock,Open,High,Low,Close
01-October-2019,NFLX,267.350006,272.200012,264.029999,269.579987
02-October-2019,NFLX,263.609985,269.350006,262.190002,268.029999
03-October-2019,NFLX,267.779999,268.839996,257.01001,268.149994
04-October-2019,NFLX,268.200012,275.480011,266.470001,272.790009
07-October-2019,NFLX,271.98999,276.679993,271.279999,274.459991
08-October-2019,NFLX,273.029999,275.529999,270.640015,270.720001
09-October-2019,NFLX,270.019989,271.0,264.570007,267.529999
10-October-2019,NFLX,265.970001,280.529999,265.029999,280.480011
11-October-2019,NFLX,284.799988,287.869995,282.339996,282.929993
14-October-2019,NFLX,283.929993,286.929993,282.0,285.529999
15-October-2019,NFLX,283.820007,285.869995,279.399994,284.25
16-October-2019,NFLX,283.119995,288.170013,280.73999,286.279999
17-October-2019,NFLX,304.48999,308.75,288.299988,293.350006
18-October-2019,NFLX,304.48999,308.75,288.299988,293.350006
21-October-2019,NFLX,272.890015,279.940002,269.0,278.049988
22-October-2019,NFLX,271.160004,275.410004,265.799988,266.690002
23-October-2019,NFLX,271.160004,275.410004,265.799988,266.690002
24-October-2019,NFLX,271.809998,274.019989,268.799988,271.5
25-October-2019,NFLX,270.679993,277.769989,270.179993,276.820007
28-October-2019,NFLX,278.049988,285.75,277.350006,281.859985
29-October-2019,NFLX,281.869995,284.410004,277.549988,281.209991
30-October-2019,NFLX,284.339996,293.48999,283.0,291.450012
31-October-2019,NFLX,291.0,291.450012,284.779999,287.410004
—-—-—,—,291.0,291.450012,284.779999,287.410004
01-November-2019,NFLX,288.700012,289.119995,283.019989,286.809998
04-November-2019,NFLX,288.0,295.390015,287.160004,292.859985
05-November-2019,NFLX,289.98999,291.190002,286.309998,288.029999
06-November-2019,NFLX,288.190002,290.559998,285.839996,288.589996
07-November-2019,NFLX,290.700012,298.190002,288.269989,289.570007
08-November-2019,NFLX,288.730011,293.98999,287.51001,291.570007
11-November-2019,NFLX,289.160004,296.359985,288.5,294.179993
12-November-2019,NFLX,295.320007,295.350006,288.700012,292.01001
13-November-2019,NFLX,291.029999,293.410004,281.140015,283.109985
14-November-2019,NFLX,283.25,290.630005,283.220001,289.619995
15-November-2019,NFLX,290.589996,295.820007,287.570007,295.029999
18-November-2019,NFLX,296.0,304.98999,293.279999,302.570007
19-November-2019,NFLX,304.01001,305.670013,298.519989,302.600006
20-November-2019,NFLX,301.01001,308.25,301.0,305.160004
21-November-2019,NFLX,306.0,312.690002,304.26001,311.690002
22-November-2019,NFLX,309.100006,311.399994,304.410004,310.480011
25-November-2019,NFLX,308.829987,315.730011,305.25,315.549988
26-November-2019,NFLX,308.829987,315.730011,305.25,315.549988
27-November-2019,NFLX,313.929993,316.820007,312.75,315.929993
29-November-2019,NFLX,315.779999,316.619995,313.339996,314.660004
02-December-2019,NFLX,314.390015,314.390015,303.75,309.98999
03-December-2019,NFLX,302.220001,307.359985,301.880005,306.160004
04-December-2019,NFLX,308.429993,308.429993,303.269989,304.320007
05-December-2019,NFLX,305.269989,306.480011,298.809998,302.859985
06-December-2019,NFLX,304.700012,307.850006,302.600006,307.350006
09-December-2019,NFLX,307.350006,311.48999,302.440002,302.5
10-December-2019,NFLX,296.119995,298.940002,292.019989,293.119995
11-December-2019,NFLX,294.48999,299.429993,294.200012,298.929993
12-December-2019,NFLX,295.670013,299.170013,295.059998,298.440002
13-December-2019,NFLX,298.5,301.799988,297.25,298.5
16-December-2019,NFLX,300.850006,305.709991,298.630005,304.209991
17-December-2019,NFLX,307.359985,316.799988,306.600006,315.480011
18-December-2019,NFLX,316.26001,325.359985,315.600006,320.799988
19-December-2019,NFLX,324.5,332.829987,324.179993,332.220001
20-December-2019,NFLX,335.0,338.0,330.600006,336.899994
23-December-2019,NFLX,337.76001,337.950012,331.019989,333.100006
24-December-2019,NFLX,334.01001,335.700012,331.600006,333.200012
26-December-2019,NFLX,334.600006,336.459991,332.01001,332.630005
27-December-2019,NFLX,332.959991,333.820007,326.01001,329.089996
30-December-2019,NFLX,329.079987,329.190002,322.859985,323.309998
31-December-2019,NFLX,322.0,324.920013,321.089996,323.570007
02-January-2020,NFLX,326.100006,329.980011,324.779999,329.809998
03-January-2020,NFLX,326.100006,329.980011,324.779999,329.809998
06-January-2020,NFLX,323.119995,336.359985,321.200012,335.829987
07-January-2020,NFLX,336.470001,336.700012,330.299988,330.75
08-January-2020,NFLX,331.48999,342.700012,331.049988,339.26001
09-January-2020,NFLX,342.0,343.420013,334.609985,335.660004
10-January-2020,NFLX,337.130005,338.5,327.269989,329.049988
13-January-2020,NFLX,331.799988,340.850006,331.51001,338.920013
14-January-2020,NFLX,344.399994,345.380005,335.519989,338.690002
15-January-2020,NFLX,338.679993,343.170013,336.600006,339.070007
16-January-2020,NFLX,343.5,343.559998,335.850006,338.619995
17-January-2020,NFLX,341.0,341.570007,337.380005,339.670013
21-January-2020,NFLX,340.0,341.0,332.589996,338.109985
22-January-2020,NFLX,332.549988,336.299988,323.600006,326.0
23-January-2020,NFLX,326.040009,349.880005,325.01001,349.600006
24-January-2020,NFLX,348.459991,359.850006,345.880005,353.160004
27-January-2020,NFLX,345.950012,351.899994,341.019989,342.880005
28-January-2020,NFLX,345.880005,352.399994,342.779999,348.519989
29-January-2020,NFLX,349.0,349.399994,338.549988,343.160004
30-January-2020,NFLX,341.100006,348.200012,339.25,347.73999
31-January-2020,NFLX,347.390015,347.390015,340.980011,345.089996
03-February-2020,NFLX,347.390015,347.390015,340.980011,345.089996
04-February-2020,NFLX,361.0,369.570007,356.100006,369.01001
05-February-2020,NFLX,375.130005,375.25,362.299988,369.670013
06-February-2020,NFLX,369.600006,371.549988,362.51001,366.950012
07-February-2020,NFLX,365.040009,371.799988,363.570007,366.769989
10-February-2020,NFLX,365.0,374.799988,362.519989,371.070007
11-February-2020,NFLX,373.75,378.109985,369.720001,373.690002
12-February-2020,NFLX,377.179993,380.619995,375.880005,380.01001
13-February-2020,NFLX,377.179993,380.619995,375.880005,380.01001
14-February-2020,NFLX,381.470001,385.149994,379.429993,380.399994
18-February-2020,NFLX,379.299988,389.540009,379.190002,387.779999
19-February-2020,NFLX,388.119995,392.950012,384.899994,386.190002
20-February-2020,NFLX,386.559998,389.700012,376.679993,386.0
21-February-2020,NFLX,385.329987,387.320007,377.899994,380.070007
24-February-2020,NFLX,364.76001,372.820007,361.0,368.700012
25-February-2020,NFLX,372.0,375.649994,357.720001,360.089996
26-February-2020,NFLX,366.309998,382.0,365.0,379.23999
27-February-2020,NFLX,371.459991,391.559998,370.600006,371.709991
28-February-2020,NFLX,371.459991,391.559998,370.600006,371.709991
02-March-2020,NFLX,373.109985,381.359985,364.5,381.049988
03-March-2020,NFLX,381.029999,393.519989,367.399994,368.769989
04-March-2020,NFLX,377.769989,384.01001,370.51001,383.790009
05-March-2020,NFLX,381.0,391.399994,368.640015,372.779999
06-March-2020,NFLX,367.700012,371.309998,356.850006,368.970001
09-March-2020,NFLX,343.859985,357.470001,341.720001,346.48999
10-March-2020,NFLX,356.429993,364.540009,347.850006,364.130005
11-March-2020,NFLX,358.920013,362.980011,344.790009,349.920013
12-March-2020,NFLX,326.5,335.720001,307.320007,315.25
13-March-2020,NFLX,326.5,335.720001,307.320007,315.25
16-March-2020,NFLX,306.630005,334.350006,294.75,298.839996
17-March-2020,NFLX,306.190002,322.899994,290.25,319.75
18-March-2020,NFLX,302.399994,331.579987,300.0,315.470001
19-March-2020,NFLX,324.329987,348.51001,316.820007,332.029999
20-March-2020,NFLX,342.309998,350.48999,332.0,332.829987
23-March-2020,NFLX,347.890015,366.109985,340.880005,360.269989
24-March-2020,NFLX,369.98999,372.929993,353.029999,357.320007
25-March-2020,NFLX,361.019989,362.0,339.170013,342.390015
26-March-2020,NFLX,344.0,363.839996,341.730011,362.98999
27-March-2020,NFLX,359.089996,368.559998,353.0,357.119995
30-March-2020,NFLX,363.0,377.799988,361.170013,370.959991
31-March-2020,NFLX,367.929993,383.01001,366.440002,375.5
—-—-—,—,367.929993,383.01001,366.440002,375.5
01-April-2020,NFLX,376.049988,380.230011,361.019989,364.079987
02-April-2020,NFLX,364.079987,370.98999,360.059998,370.079987
03-April-2020,NFLX,367.470001,370.899994,357.51001,361.76001
06-April-2020,NFLX,365.220001,380.290009,361.709991,379.959991
07-April-2020,NFLX,380.0,381.329987,369.339996,372.279999
08-April-2020,NFLX,374.01001,378.390015,368.309998,371.119995
09-April-2020,NFLX,371.059998,372.100006,363.029999,370.720001
13-April-2020,NFLX,371.309998,400.51001,367.700012,396.720001
14-April-2020,NFLX,397.5,417.820007,394.850006,413.549988
15-April-2020,NFLX,413.0,434.980011,412.25,426.75
16-April-2020,NFLX,437.0,449.519989,431.609985,439.170013
17-April-2020,NFLX,431.0,432.0,414.700012,422.959991
20-April-2020,NFLX,435.170013,444.48999,430.559998,437.48999
21-April-2020,NFLX,444.769989,447.0,425.600006,433.829987
22-April-2020,NFLX,429.730011,433.0,413.0,421.420013
23-April-2020,NFLX,419.26001,438.410004,419.26001,426.700012
24-April-2020,NFLX,419.26001,438.410004,419.26001,426.700012
27-April-2020,NFLX,419.26001,438.410004,419.26001,426.700012
28-April-2020,NFLX,419.98999,421.0,402.910004,403.829987
29-April-2020,NFLX,399.529999,415.859985,393.600006,411.890015
30-April-2020,NFLX,410.309998,424.440002,408.0,419.850006
—-—-—,—,410.309998,424.440002,408.0,419.850006
01-May-2020,NFLX,415.100006,427.970001,411.730011,415.269989
04-May-2020,NFLX,415.100006,427.970001,411.730011,415.269989
05-May-2020,NFLX,427.559998,431.0,421.559998,424.679993
06-May-2020,NFLX,429.299988,439.769989,426.390015,434.26001
07-May-2020,NFLX,436.890015,438.880005,430.660004,436.529999
08-May-2020,NFLX,434.140015,442.0,433.640015,435.549988
11-May-2020,NFLX,436.329987,444.890015,435.559998,440.519989
12-May-2020,NFLX,442.0,444.170013,431.359985,431.820007
13-May-2020,NFLX,435.690002,447.0,427.269989,438.269989
14-May-2020,NFLX,444.899994,452.380005,432.820007,441.950012
15-May-2020,NFLX,440.700012,455.0,437.51001,454.190002
18-May-2020,NFLX,451.160004,456.359985,443.350006,452.579987
19-May-2020,NFLX,453.399994,458.970001,450.470001,451.040009
20-May-2020,NFLX,453.399994,458.970001,450.470001,451.040009
21-May-2020,NFLX,448.559998,448.959991,430.25,436.25
22-May-2020,NFLX,437.0,439.089996,427.179993,429.320007
26-May-2020,NFLX,427.769989,428.5,413.140015,414.769989
27-May-2020,NFLX,410.380005,420.019989,397.859985,419.890015
28-May-2020,NFLX,417.23999,422.369995,411.5,413.440002
29-May-2020,NFLX,417.459991,420.299988,411.850006,419.730011
—-—-—,—,417.459991,420.299988,411.850006,419.730011
01-June-2020,NFLX,418.829987,426.720001,415.980011,425.920013
02-June-2020,NFLX,418.829987,426.720001,415.980011,425.920013
03-June-2020,NFLX,426.950012,427.100006,418.049988,421.970001
04-June-2020,NFLX,422.390015,428.709991,410.029999,414.329987
05-June-2020,NFLX,407.290009,420.23999,404.25,419.600006
08-June-2020,NFLX,416.0,420.799988,406.5,419.48999
09-June-2020,NFLX,421.649994,434.730011,420.309998,434.049988
10-June-2020,NFLX,436.0,439.690002,430.549988,434.480011
11-June-2020,NFLX,428.200012,445.570007,424.160004,425.559998
12-June-2020,NFLX,429.0,434.059998,412.450012,418.070007
15-June-2020,NFLX,421.399994,426.48999,415.420013,425.5
16-June-2020,NFLX,425.76001,437.959991,425.179993,436.130005
17-June-2020,NFLX,441.820007,450.459991,439.220001,447.769989
18-June-2020,NFLX,448.730011,452.76001,442.799988,449.869995
19-June-2020,NFLX,449.119995,453.970001,445.600006,453.720001
22-June-2020,NFLX,455.01001,468.589996,454.209991,468.040009
23-June-2020,NFLX,466.5,474.01001,464.5,466.26001
24-June-2020,NFLX,468.540009,472.359985,454.0,457.850006
25-June-2020,NFLX,458.859985,467.01001,454.0,465.910004
26-June-2020,NFLX,466.390015,468.029999,442.23999,443.399994
29-June-2020,NFLX,466.390015,468.029999,442.23999,443.399994
30-June-2020,NFLX,450.019989,457.589996,447.0,455.040009
—-—-—,—,450.019989,457.589996,447.0,455.040009
01-July-2020,NFLX,454.0,488.230011,454.0,485.640015
02-July-2020,NFLX,485.640015,492.279999,475.529999,476.890015
06-July-2020,NFLX,480.769989,499.5,479.799988,493.809998
07-July-2020,NFLX,497.309998,504.820007,490.829987,493.160004
08-July-2020,NFLX,498.579987,505.100006,493.809998,502.779999
09-July-2020,NFLX,508.399994,510.0,495.779999,507.76001
10-July-2020,NFLX,519.72998,555.880005,511.279999,548.72998
13-July-2020,NFLX,567.97998,575.369995,520.960022,525.5
14-July-2020,NFLX,517.080017,525.5,490.48999,524.880005
15-July-2020,NFLX,516.299988,529.0,510.179993,523.26001
16-July-2020,NFLX,526.47998,535.539978,504.359985,527.390015
17-July-2020,NFLX,494.869995,503.589996,484.140015,492.98999
20-July-2020,NFLX,489.140015,504.5,484.200012,502.410004
21-July-2020,NFLX,506.0,506.220001,488.609985,490.100006
22-July-2020,NFLX,492.190002,497.200012,487.200012,489.820007
23-July-2020,NFLX,491.130005,491.899994,472.019989,477.579987
24-July-2020,NFLX,468.769989,487.170013,467.540009,480.450012
27-July-2020,NFLX,484.51001,496.920013,482.309998,495.649994
28-July-2020,NFLX,496.019989,497.790009,487.76001,488.51001
29-July-2020,NFLX,492.25,494.920013,484.130005,484.480011
30-July-2020,NFLX,480.709991,488.350006,477.51001,485.799988
31-July-2020,NFLX,488.290009,494.799988,484.5,488.880005
03-August-2020,NFLX,490.859985,503.089996,490.230011,498.619995
04-August-2020,NFLX,498.649994,510.440002,498.649994,509.640015
05-August-2020,NFLX,508.679993,510.100006,501.200012,502.109985
06-August-2020,NFLX,504.109985,510.820007,498.700012,509.079987
07-August-2020,NFLX,505.450012,508.290009,486.679993,494.730011
10-August-2020,NFLX,493.350006,497.459991,478.630005,483.380005
11-August-2020,NFLX,479.75,480.920013,466.549988,466.929993
12-August-2020,NFLX,471.339996,482.48999,470.179993,475.470001
13-August-2020,NFLX,478.399994,484.450012,476.450012,481.329987
14-August-2020,NFLX,482.820007,488.329987,480.209991,482.679993
17-August-2020,NFLX,484.190002,486.23999,479.100006,482.350006
18-August-2020,NFLX,484.350006,495.299988,482.799988,491.869995
19-August-2020,NFLX,493.929993,494.5,483.5,484.529999
20-August-2020,NFLX,484.690002,498.940002,483.890015,497.899994
21-August-2020,NFLX,496.459991,498.130005,490.0,492.309998
24-August-2020,NFLX,495.440002,501.0,483.160004,488.809998
25-August-2020,NFLX,488.190002,492.470001,485.089996,490.579987
26-August-2020,NFLX,492.5,549.039978,492.079987,547.530029
27-August-2020,NFLX,537.780029,541.0,521.25,526.27002
28-August-2020,NFLX,537.780029,541.0,521.25,526.27002
31-August-2020,NFLX,521.159973,531.98999,517.580017,529.559998
—-—-—,—,521.159973,531.98999,517.580017,529.559998
01-September-2020,NFLX,532.599976,557.390015,532.450012,556.549988
02-September-2020,NFLX,553.780029,556.5,537.369995,552.840027
03-September-2020,NFLX,545.0,554.0,521.320007,525.75
04-September-2020,NFLX,520.179993,527.359985,485.980011,516.049988
08-September-2020,NFLX,498.399994,522.0,495.0,507.019989
09-September-2020,NFLX,519.210022,520.0,492.570007,500.190002
10-September-2020,NFLX,503.350006,506.290009,478.839996,480.670013
11-September-2020,NFLX,486.48999,493.730011,476.809998,482.029999
14-September-2020,NFLX,480.619995,488.98999,471.299988,476.26001
15-September-2020,NFLX,484.0,497.470001,481.630005,495.98999
16-September-2020,NFLX,499.98999,504.660004,483.309998,483.859985
17-September-2020,NFLX,475.160004,478.399994,463.269989,470.200012
18-September-2020,NFLX,472.51001,479.399994,458.600006,469.959991
21-September-2020,NFLX,467.690002,487.779999,466.320007,487.350006
22-September-2020,NFLX,467.690002,487.779999,466.320007,487.350006
23-September-2020,NFLX,491.040009,491.040009,469.0,470.609985
24-September-2020,NFLX,470.529999,477.0,467.820007,473.079987
25-September-2020,NFLX,474.390015,484.869995,468.029999,482.880005
28-September-2020,NFLX,489.109985,492.0,477.880005,490.649994
29-September-2020,NFLX,489.5,496.290009,486.529999,493.480011
30-September-2020,NFLX,492.570007,504.630005,489.269989,500.029999
—-—-—,—,492.570007,504.630005,489.269989,500.029999
01-October-2020,NFLX,506.029999,529.549988,503.600006,527.51001
02-October-2020,NFLX,516.429993,526.369995,502.700012,503.059998
05-October-2020,NFLX,506.799988,520.98999,501.700012,520.650024
06-October-2020,NFLX,518.719971,521.820007,504.160004,505.869995
07-October-2020,NFLX,518.0,536.48999,515.820007,534.659973
08-October-2020,NFLX,533.47998,535.0,524.150024,531.789978
09-October-2020,NFLX,537.830017,544.280029,535.0,539.440002
12-October-2020,NFLX,548.809998,551.809998,538.23999,539.809998
13-October-2020,NFLX,540.559998,557.650024,537.200012,554.090027
14-October-2020,NFLX,562.609985,572.48999,541.0,541.450012
15-October-2020,NFLX,545.52002,551.219971,535.099976,541.940002
16-October-2020,NFLX,549.5,554.330017,530.030029,530.789978
19-October-2020,NFLX,537.070007,541.799988,525.380005,530.719971
20-October-2020,NFLX,528.140015,533.780029,522.26001,525.419983
21-October-2020,NFLX,501.029999,506.850006,488.25,489.049988
22-October-2020,NFLX,494.690002,495.140015,482.0,485.230011
23-October-2020,NFLX,488.109985,490.059998,481.350006,488.279999
26-October-2020,NFLX,487.029999,496.820007,478.899994,488.23999
27-October-2020,NFLX,490.01001,490.48999,482.929993,488.929993
28-October-2020,NFLX,486.359985,494.0,483.279999,486.23999
29-October-2020,NFLX,488.5,513.900024,479.339996,504.209991
30-October-2020,NFLX,502.01001,505.880005,472.209991,475.73999
02-November-2020,NFLX,478.869995,486.299988,475.0,484.119995
03-November-2020,NFLX,484.929993,495.309998,478.76001,487.220001
04-November-2020,NFLX,495.359985,507.730011,493.980011,496.950012
05-November-2020,NFLX,506.559998,518.72998,503.450012,513.76001
06-November-2020,NFLX,515.0,515.210022,502.51001,514.72998
09-November-2020,NFLX,485.540009,495.850006,467.26001,470.5
10-November-2020,NFLX,470.950012,484.600006,463.410004,480.23999
11-November-2020,NFLX,483.0,491.679993,478.26001,490.76001
12-November-2020,NFLX,491.0,496.519989,480.429993,486.769989
13-November-2020,NFLX,486.769989,488.940002,477.799988,482.839996
16-November-2020,NFLX,486.769989,488.940002,477.799988,482.839996
17-November-2020,NFLX,480.119995,487.51001,478.850006,480.630005
18-November-2020,NFLX,481.950012,488.609985,477.720001,481.790009
19-November-2020,NFLX,482.0,487.799988,480.470001,484.670013
20-November-2020,NFLX,485.220001,494.76001,481.570007,488.23999
23-November-2020,NFLX,490.459991,491.149994,475.839996,476.619995
24-November-2020,NFLX,478.839996,484.049988,475.890015,482.880005
25-November-2020,NFLX,485.130005,486.899994,478.920013,485.0
27-November-2020,NFLX,486.579987,493.25,481.850006,491.359985
30-November-2020,NFLX,490.079987,492.549988,481.269989,490.700012
—-—-—,—,490.079987,492.549988,481.269989,490.700012
01-December-2020,NFLX,492.339996,509.470001,491.980011,504.579987
