,Stock,Day,Month,Year,Open,High,Low,Close
0,NFLX,01,October,2019,267.350006,272.200012,264.029999,269.579987
1,NFLX,02,October,2019,263.609985,269.350006,262.190002,268.029999
2,NFLX,03,October,2019,267.779999,268.839996,257.010010,268.149994
3,NFLX,04,October,2019,268.200012,275.480011,266.470001,272.790009
4,NFLX,07,October,2019,271.989990,276.679993,271.279999,274.459991
5,NFLX,08,October,2019,273.029999,275.529999,270.640015,270.720001
6,NFLX,09,October,2019,270.019989,271.000000,264.570007,267.529999
7,NFLX,10,October,2019,265.970001,280.529999,265.029999,280.480011
8,NFLX,11,October,2019,284.799988,287.869995,282.339996,282.929993
9,NFLX,14,October,2019,283.929993,286.929993,282.000000,285.529999
10,NFLX,15,October,2019,283.820007,285.869995,279.399994,284.250000
11,NFLX,16,October,2019,283.119995,288.170013,280.739990,286.279999
12,NFLX,17,October,2019,304.489990,308.750000,288.299988,293.350006
13,NFLX,18,October,2019,,,,
14,NFLX,21,October,2019,272.890015,279.940002,269.000000,278.049988
15,NFLX,22,October,2019,271.160004,275.410004,265.799988,266.690002
16,NFLX,23,October,2019,,,,
17,NFLX,24,October,2019,271.809998,274.019989,268.799988,271.500000
18,NFLX,25,October,2019,270.679993,277.769989,270.179993,276.820007
19,NFLX,28,October,2019,278.049988,285.750000,277.350006,281.859985
20,NFLX,29,October,2019,281.869995,284.410004,277.549988,281.209991
21,NFLX,30,October,2019,284.339996,293.489990,283.000000,291.450012
22,NFLX,31,October,2019,291.000000,291.450012,284.779999,287.410004
23,—,—,—,—,—,—,—,—
24,NFLX,01,November,2019,288.700012,289.119995,283.019989,286.809998
25,NFLX,04,November,2019,288.000000,295.390015,287.160004,292.859985
26,NFLX,05,November,2019,289.989990,291.190002,286.309998,288.029999
27,NFLX,06,November,2019,288.190002,290.559998,285.839996,288.589996
28,NFLX,07,November,2019,290.700012,298.190002,288.269989,289.570007
29,NFLX,08,November,2019,288.730011,293.989990,287.510010,291.570007
30,NFLX,11,November,2019,289.160004,296.359985,288.500000,294.179993
31,NFLX,12,November,2019,295.320007,295.350006,288.700012,292.010010
32,NFLX,13,November,2019,291.029999,293.410004,281.140015,283.109985
33,NFLX,14,November,2019,283.250000,290.630005,283.220001,289.619995
34,NFLX,15,November,2019,290.589996,295.820007,287.570007,295.029999
35,NFLX,18,November,2019,296.000000,304.989990,293.279999,302.570007
36,NFLX,19,November,2019,304.010010,305.670013,298.519989,302.600006
37,NFLX,20,November,2019,301.010010,308.250000,301.000000,305.160004
38,NFLX,21,November,2019,306.000000,312.690002,304.260010,311.690002
39,NFLX,22,November,2019,309.100006,311.399994,304.410004,310.480011
40,NFLX,25,November,2019,308.829987,315.730011,305.250000,315.549988
41,NFLX,26,November,2019,,,,
42,NFLX,27,November,2019,313.929993,316.820007,312.750000,315.929993
43,NFLX,29,November,2019,315.779999,316.619995,313.339996,314.660004
44,NFLX,02,December,2019,314.390015,314.390015,303.750000,309.989990
45,NFLX,03,December,2019,302.220001,307.359985,301.880005,306.160004
46,NFLX,04,December,2019,308.429993,308.429993,303.269989,304.320007
47,NFLX,05,December,2019,305.269989,306.480011,298.809998,302.859985
48,NFLX,06,December,2019,304.700012,307.850006,302.600006,307.350006
49,NFLX,09,December,2019,307.350006,311.489990,302.440002,302.500000
50,NFLX,10,December,2019,296.119995,298.940002,292.019989,293.119995
51,NFLX,11,December,2019,294.489990,299.429993,294.200012,298.929993
52,NFLX,12,December,2019,295.670013,299.170013,295.059998,298.440002
53,NFLX,13,December,2019,298.500000,301.799988,297.250000,298.500000
54,NFLX,16,December,2019,300.850006,305.709991,298.630005,304.209991
55,NFLX,17,December,2019,307.359985,316.799988,306.600006,315.480011
56,NFLX,18,December,2019,316.260010,325.359985,315.600006,320.799988
57,NFLX,19,December,2019,324.500000,332.829987,324.179993,332.220001
58,NFLX,20,December,2019,335.000000,338.000000,330.600006,336.899994
59,NFLX,23,December,2019,337.760010,337.950012,331.019989,333.100006
60,NFLX,24,December,2019,334.010010,335.700012,331.600006,333.200012
61,NFLX,26,December,2019,334.600006,336.459991,332.010010,332.630005
62,NFLX,27,December,2019,332.959991,333.820007,326.010010,329.089996
63,NFLX,30,December,2019,329.079987,329.190002,322.859985,323.309998
64,NFLX,31,December,2019,322.000000,324.920013,321.089996,323.570007
65,NFLX,02,January,2020,326.100006,329.980011,324.779999,329.809998
66,NFLX,03,January,2020,,,,
67,NFLX,06,January,2020,323.119995,336.359985,321.200012,335.829987
68,NFLX,07,January,2020,336.470001,336.700012,330.299988,330.750000
69,NFLX,08,January,2020,331.489990,342.700012,331.049988,339.260010
70,NFLX,09,January,2020,342.000000,343.420013,334.609985,335.660004
71,NFLX,10,January,2020,337.130005,338.500000,327.269989,329.049988
72,NFLX,13,January,2020,331.799988,340.850006,331.510010,338.920013
73,NFLX,14,January,2020,344.399994,345.380005,335.519989,338.690002
74,NFLX,15,January,2020,338.679993,343.170013,336.600006,339.070007
75,NFLX,16,January,2020,343.500000,343.559998,335.850006,338.619995
76,NFLX,17,January,2020,341.000000,341.570007,337.380005,339.670013
77,NFLX,21,January,2020,340.000000,341.000000,332.589996,338.109985
78,NFLX,22,January,2020,332.549988,336.299988,323.600006,326.000000
79,NFLX,23,January,2020,326.040009,349.880005,325.010010,349.600006
80,NFLX,24,January,2020,348.459991,359.850006,345.880005,353.160004
81,NFLX,27,January,2020,345.950012,351.899994,341.019989,342.880005
82,NFLX,28,January,2020,345.880005,352.399994,342.779999,348.519989
83,NFLX,29,January,2020,349.000000,349.399994,338.549988,343.160004
84,NFLX,30,January,2020,341.100006,348.200012,339.250000,347.739990
85,NFLX,31,January,2020,347.390015,347.390015,340.980011,345.089996
86,NFLX,03,February,2020,,,,
87,NFLX,04,February,2020,361.000000,369.570007,356.100006,369.010010
88,NFLX,05,February,2020,375.130005,375.250000,362.299988,369.670013
89,NFLX,06,February,2020,369.600006,371.549988,362.510010,366.950012
90,NFLX,07,February,2020,365.040009,371.799988,363.570007,366.769989
91,NFLX,10,February,2020,365.000000,374.799988,362.519989,371.070007
92,NFLX,11,February,2020,373.750000,378.109985,369.720001,373.690002
93,NFLX,12,February,2020,377.179993,380.619995,375.880005,380.010010
94,NFLX,13,February,2020,,,,
95,NFLX,14,February,2020,381.470001,385.149994,379.429993,380.399994
